Day,Week,Date,Platform,ContentPillar,PostIdeaHook,Format,CallToAction,Funnel,categoryId,channel,language,angle,notes,imageHints,subjectMode,production,compliance,id
"Mon 2026-08-10","1","2026-08-10","instagram; facebook","education","Opening line on image text: ""Invisalign is only for teens."" Cut to adult hand holding clear aligners. On-screen text: Myth. Bust it in 20 seconds.","static","Try SmileView or book a consult at LE 32","tof","invisalign","organic","both","myth-bust","IMAGE-ONLY static feed post (no video). Organic IG/FB static image. Hook: open with the myth ""Invisalign is only for teens,"" then correct gently - many adults in Vaudreuil and the West Island choose clear aligners for mild crowding or bite concerns because trays are discreet at work. Visual brief: (1) myth text card, (2) close-up of clear aligner in hand under soft clinic light, (3) hero still or B-roll of SmileView on phone, (4) soft CTA end card. Caption angle: myth-bust + local trust. Do not promise timelines or guaranteed straight teeth. CTA: try Invisalign SmileView or book a consult with Dr. Elizabeth Peeling at LE 32. Hashtags: treatment + VaudreuilDorion, WestIsland, Montreal area. Language: both EN and FR QC. Generate AI image from imageHints + subjectMode, then bilingual caption. Do not create video or Reels.","hand holding clear aligners, soft clinic light, no identifiable patient face","service","ai-image","no-timeline-promises; no-guaranteed-results","w1-mon-invisalign-myth"
"Tue 2026-08-11","1","2026-08-11","google-business","conversion","GBP title angle: ""Curious about veneers, Invisalign, or implants? Start with a consult in Vaudreuil-Dorion.""","static","Call or book a consult online","bof","smile-makeover","organic","both","soft-cta","IMAGE-ONLY static post. Google Business Profile post (publish manually in GBP). Soft conversion: invite new patients exploring cosmetic dentistry, Invisalign, or dental implants to book a consult with Dr. Elizabeth Peeling at LE 32 in Vaudreuil-Dorion. Keep copy short (2-3 sentences). Mention West Island convenience without hard sell. No discounts that imply guaranteed clinical outcomes. No financing rates. CTA: call or book online. Pair with a warm clinic exterior or reception still (AI or phone photo). Language: prefer EN primary with FR variant available.","warm clinic exterior or reception, Vaudreuil daylight, no patients identifiable","service","phone-photo-or-ai","no-guaranteed-results; odq-review-before-publish","w1-tue-gbp-consult"
"Tue 2026-08-11","1","2026-08-11","instagram","education","Story frame 1 text: ""Missing a tooth?"" Frame 2: ""Implant vs bridge - which questions should you ask first?"" Poll: Implant curiosity / Just learning.","story","DM IMPLANT or book a consult","tof","implants","organic","both","question-hook","IMAGE-ONLY Instagram Story still(s) - static frames, no video clips. IG Stories (3 frames). Question-hook education on dental implants vs bridge - do not recommend one option as always better; invite a consult for personalized assessment. Frame 1: relatable hook for adults 35-55. Frame 2: two fair questions patients ask (longevity, neighbouring teeth). Frame 3: poll sticker + CTA to DM ""IMPLANT"" or book. No outcome guarantees. Local: LE 32 Vaudreuil-Dorion. Generate short EN/FR sticker text via studio if needed.","simple diagram-style still of implant concept, clean clinical aesthetic, no graphic surgery","service","ai-image","no-guaranteed-results; no-timeline-promises","w1-tue-story-implant-faq"
"Wed 2026-08-12","1","2026-08-12","instagram; facebook","education","Slide 1 headline: ""Thinking about veneers? Start with these 4 questions."" Not a sales pitch - a consult prep list.","carousel","Book a cosmetic consult at LE 32","tof","veneers","organic","both","question-hook","IMAGE-ONLY carousel (still slides, no video). Organic carousel (5 slides). Hook: ""Thinking about veneers? Start with these 4 questions."" Slides: (1) cover question-hook, (2) What bothers you most - colour, chips, gaps, or shape?, (3) Are you open to discussing enamel preparation?, (4) What does ""natural-looking"" mean to you in photos and meetings?, (5) Soft CTA - book a cosmetic consult at LE 32 with Dr. Peeling. Tone: educational, calm, professional. No ""Hollywood smile guaranteed."" Local hashtags Vaudreuil / West Island. Image style: clean typography on soft clinic tones or AI lifestyle smile (non-identifiable). Language: both.","clean carousel cover, soft greige clinic tones, subtle smile detail without identifiable patient","people","ai-or-design","no-guaranteed-results; disclaimer-results-vary","w1-wed-veneers-education"
"Thu 2026-08-13","1","2026-08-13","instagram","bts","Story series: ""Morning at LE 32"" - coffee in staff room, lights on in operatory, Dr. Peeling reviewing the day (no patient faces).","story","Follow for smile tips from LE 32","tof","smile-makeover","organic","en","behind-the-scenes","IMAGE-ONLY Instagram Story still(s) - static frames, no video clips. IG Stories BTS (3-4 stills, phone only). Hook sticker: ""Morning at LE 32."" Show real atmosphere: empty operatory setup, team greeting, calm lighting - never Photograph identifiable patients without consent. Caption stickers: warm, human, not corporate. End frame: ""Serving Vaudreuil-Dorion and nearby West Island."" Soft CTA: follow for smile tips. No clinical claims.","empty modern operatory, soft morning light, no patients","service","ai-image","patient-consent","w1-thu-story-bts-morning"
"Fri 2026-08-14","1","2026-08-14","instagram; facebook","social-proof","Patient (consented) on image text: ""I waited years because I thought braces were the only option."" Cut to: ""Clear aligners fit my work week.""","static","Book a consult or try SmileView","mof","invisalign","organic","both","social-proof","IMAGE-ONLY static feed post (no video). Organic static image. from consented patient testimonial (written consent required before filming). Hook with the waiting-years line, then one concrete lifestyle benefit (discreet at work / meetings) without inventing clinical outcomes or timelines. If no patient available this week, use staff-photographed paraphrase only with on-screen ""Composite of themes patients share"" and do not fake a named review. End card: Dr. Elizabeth Peeling, LE 32, Vaudreuil-Dorion. CTA: book a consult or try SmileView. Studio: generate bilingual caption from this brief; do not invent star counts. Hashtags local + Invisalign. Generate AI image from imageHints + subjectMode, then bilingual caption. Do not create video or Reels.","adult professional smiling naturally outdoors, West Island light, not a stock ""perfect"" grin","people","ai-image","patient-consent; no-invented-reviews; no-timeline-promises; disclaimer-results-vary; odq-review-before-publish","w1-fri-testimonial"
"Mon 2026-08-17","2","2026-08-17","instagram; facebook","transformations","POV hook on-screen: ""You angle the laptop camera so your smile stays out of frame."" Caption lead: ""Mild crowding and chips are more common than you think - here's what patients ask us first.""","static","Book a smile consult at LE 32","tof","smile-makeover","organic","both","confidence","IMAGE-ONLY static feed post (no video). Organic static image., confidence angle for working professionals 30-55. Hook is the Zoom/laptop camera hide. Keep clinical part light: common concerns (mild crowding, chips, colour) and that a consult explores options (whitening, aligners, veneers) without prescribing on social. No before/after needed. Soft emotional close: smiling freely in meetings and photos. Local: LE 32 Vaudreuil-Dorion. CTA: book a smile consult. Disclaimer: results vary; no guarantees. Language: both. Generate AI image from imageHints + subjectMode, then bilingual caption. Do not create video or Reels.","professional adult in soft natural light, subtle closed-mouth smile, cafe or home office vibe","people","ai-image","no-guaranteed-results; disclaimer-results-vary","w2-mon-confidence-zoom"
"Tue 2026-08-18","2","2026-08-18","google-business","education","GBP: ""Drugstore strips vs professional whitening - what actually belongs in a consult conversation.""","static","Ask about whitening at your consult","tof","whitening","organic","en","myth-bust","IMAGE-ONLY static post. GBP education post. Myth-bust gently: over-the-counter strips are not the same as a professional whitening plan assessed for sensitivity and gum health. Do not bash brands; do not promise shade numbers. Invite readers in Vaudreuil-Dorion / West Island to ask about whitening at a consult with Dr. Peeling at LE 32. Short copy. Pair with AI or phone still of whitening trays (no patient face). CTA: learn more / book.","professional whitening trays on linen, clean bright still, no faces","service","phone-photo-or-ai","no-guaranteed-results","w2-tue-gbp-whitening"
"Tue 2026-08-18","2","2026-08-18","instagram","education","Parent-targeted Story: ""Teen asking about braces this year?"" Poll: Clear aligners / Metal braces / Not sure yet.","story","Book an Invisalign consult for your teen","tof","invisalign","organic","both","question-hook","IMAGE-ONLY Instagram Story still(s) - static frames, no video clips. IG Stories for parents of teens. Hook question about back-to-school / teen smile confidence. Poll sticker drives engagement. Follow-up frame: clear aligners can be an option for some teens - only a consult determines fit; no timeline promises. CTA: book a family-friendly Invisalign consult at LE 32. Keep tone supportive, not salesy. Bilingual sticker text if possible.","clear aligners flat-lay, youthful but not childish props, soft daylight","service","ai-image","no-timeline-promises; no-guaranteed-results","w2-tue-story-teen-invisalign-poll"
"Wed 2026-08-19","2","2026-08-19","instagram; facebook","local","Caption hook: ""You shouldn't need to cross the bridge for thoughtful cosmetic care."" Photo: LE 32 exterior or Vaudreuil streetscape with clinic context.","static","Save this post or book when you're ready","tof","smile-makeover","organic","both","local-trust","IMAGE-ONLY static post. Organic static (or soft carousel of 2). Local-trust angle: Dr. Elizabeth Peeling at LE 32 serves Vaudreuil-Dorion and nearby West Island patients seeking Invisalign, veneers, whitening, and implants without a downtown trek. Geotag clinic. Do not invent awards or review scores. Warm, neighbourly voice. CTA: save this post / book when ready. Language: both. Good candidate for AI image of clinic-area atmosphere if exterior photo unavailable.","clinic exterior or Vaudreuil-Dorion streetscape in warm daylight, inviting not touristy","service","phone-photo-or-ai","no-invented-reviews","w2-wed-local-trust"
